RSN,EQID,Station_Code,Magnitude,Fault_Mechanisc,depth,Joyner_Boore_Rjb,Soil_site_class,PGA,T0.010S,T0.020S,T0.030S,T0.040S,T0.050S,T0.060S,T0.070S,T0.080S,T0.090S,T0.100S,T0.150S,T0.200S,T0.250S,T0.300S,T0.400S,T0.500S,T0.800S,T1.000S,T1.200S,T1.500S,T1.800S,T2.000S,T2.500S,T3.000S,T3.500S,T4.000S,T5.000S
343,68,KOK,4.4,0,20,55.929787,C,0.011859,0.011977,0.012317,0.013375,0.015651,0.021496,0.026676,0.028793,0.039887,0.035102,0.033622,0.021317,0.010758,0.013514,0.018907,0.014963,0.010305,0.0039075,0.0026972,0.0019422,0.0017227,0.0011867,0.00065736,0.00028748,0.00016638,0.00012518,9.05E-05,6.73E-05
344,69,BAR,6.5,0,167,948.91594,,0.0025024,0.0025076,0.0025229,0.0025618,0.0026736,0.0026128,0.002658,0.0027192,0.0029249,0.0030801,0.0031536,0.0057018,0.010268,0.0093235,0.0088461,0.0083222,0.006094,0.0016414,0.00093022,0.00063115,0.0004065,0.00040708,0.00038548,0.00028786,0.00020318,0.00013361,8.45E-05,6.01E-05
345,69,BHA,6.5,0,167,870.71568,,0.0041787,0.0041931,0.0042365,0.0042943,0.004455,0.004676,0.0047079,0.0048802,0.0053673,0.0066604,0.0068116,0.014272,0.024066,0.011456,0.0061913,0.0030927,0.0020328,0.0016411,0.00090496,0.00047909,0.00028355,0.00020359,0.00018002,0.00011532,7.03E-05,4.61E-05,4.33E-05,3.42E-05
346,69,CHA,6.5,0,167,664.50528,,0.0024619,0.002463,0.002469,0.0026105,0.002534,0.002598,0.0026813,0.002682,0.0025446,0.0025841,0.0025915,0.0032497,0.0028126,0.0037581,0.0052523,0.0065607,0.0099626,0.0066431,0.0027241,0.0015274,0.00082736,0.00045968,0.00037739,0.00027405,0.00018174,0.00011571,9.02E-05,5.05E-05
347,69,DNL,6.5,0,167,982.49327,,0.0038406,0.0038429,0.0038513,0.0038646,0.0038615,0.0039029,0.0039137,0.0039082,0.0039994,0.0040677,0.0042104,0.0048338,0.0056242,0.0061192,0.0076905,0.014128,0.011996,0.010537,0.0030341,0.0017073,0.0010894,0.00069986,0.00053775,0.00036707,0.00022853,0.00014455,9.79E-05,6.83E-05
348,69,KLG,6.5,0,167,727.80851,,0.0043899,0.0043962,0.0044281,0.0045788,0.0046858,0.0048705,0.0052019,0.00542,0.0054461,0.0056173,0.0060123,0.0090757,0.008764,0.01142,0.0094062,0.01383,0.012311,0.0065242,0.0027697,0.0017157,0.00084043,0.00049869,0.0003901,0.00026584,0.00014987,0.00011444,9.68E-05,6.92E-05
349,69,KSL,6.5,0,167,856.31617,,0.0030135,0.0030171,0.0030283,0.0030637,0.0030542,0.0030877,0.0030991,0.0032249,0.00328,0.0033824,0.0033973,0.0052818,0.0075431,0.0089904,0.0091619,0.01162,0.0079511,0.002639,0.0016831,0.0011519,0.00082325,0.00042994,0.00037251,0.00024533,0.00020047,0.00011283,9.96E-05,5.50E-05
350,69,KUL,6.5,0,167,781.31026,,0.0035482,0.003554,0.00357,0.0035817,0.003631,0.0036945,0.0036822,0.0039913,0.0042723,0.0042446,0.0048546,0.0068462,0.0060939,0.0056711,0.0080511,0.0085524,0.011759,0.0043492,0.003715,0.0021944,0.0010251,0.00063381,0.00044528,0.00034501,0.00022668,0.00017181,0.00011017,7.13E-05
351,69,MNL,6.5,0,167,764.58027,,0.0035849,0.0035917,0.0036136,0.0036695,0.0037194,0.0037541,0.0037694,0.0040195,0.0043729,0.0054907,0.0053688,0.0096374,0.009125,0.0092008,0.011512,0.010966,0.0096022,0.0051471,0.0049399,0.0023562,0.0010251,0.00052869,0.00048533,0.00027091,0.00016661,0.00013743,0.00012541,8.61E-05
352,69,SND,6.5,0,167,799.65329,,0.0036297,0.0036349,0.0036517,0.0036816,0.0036896,0.0037732,0.0037877,0.0039169,0.004046,0.0041923,0.0042166,0.0066274,0.010511,0.0089178,0.007763,0.011747,0.0089141,0.0053467,0.0029561,0.0013807,0.00086392,0.00069128,0.00061333,0.00038104,0.00024017,0.00017166,0.00013053,9.79E-05
